file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\CommonScopeModelInitializerTest.java,org.apache.dubbo.common.CommonScopeModelInitializerTest,class,10,10,0,10,3,1,0,4,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,5,0,0,0,0,17,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-test\dubbo-test-spring\src\main\java\org\apache\dubbo\test\spring\SpringXmlConfigTest.java,org.apache.dubbo.test.spring.SpringXmlConfigTest,class,11,12,1,11,5,1,0,13,4,0.5,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,3,37,0,0,1,1,0,11,0,9,0,8,2,0,0,0,31,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-rpc\dubbo-rpc-rest\src\main\java\org\apache\dubbo\rpc\protocol\rest\DubboHttpProtocolServer.java,org.apache.dubbo.rpc.protocol.rest.DubboHttpProtocolServer$RestHandler,innerclass,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-spring-boot\dubbo-spring-boot-compatible\actuator\src\test\java\org\apache\dubbo\spring\boot\actuate\autoconfigure\DubboEndpointAutoConfigurationTest.java,org.apache.dubbo.spring.boot.actuate.autoconfigure.DubboEndpointAutoConfigurationTest$DefaultDemoService,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,6,0,0,1,0,0,0,0,0,10,8,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\StringToDoubleConverterTest.java,org.apache.dubbo.common.convert.StringToDoubleConverterTest,class,4,4,0,4,3,1,0,9,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,17,0,0,0,0,0,4,0,1,0,1,1,0,0,1,20,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LeastActiveBalanceTest.java,org.apache.dubbo.rpc.cluster.loadbalance.LeastActiveBalanceTest,class,6,6,0,6,6,2,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,29,0,2,0,0,2,6,7,9,6,9,2,0,0,0,36,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\client\ServiceDiscoveryRegistry.java,org.apache.dubbo.registry.client.ServiceDiscoveryRegistry,class,18,23,5,18,45,3,0,78,174,0.81333333,0.20948617,0.35968378,25,1,18,2,5,0,23,0,4,0,6,0,0,5,1,0,6,0,4,279,17,2,5,5,0,10,0,37,3,27,4,0,1,1,181,1,6
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-metadata\dubbo-metadata-processor\src\main\java\org\apache\dubbo\metadata\annotation\processing\rest\DefaultServiceRestMetadataResolver.java,org.apache.dubbo.metadata.annotation.processing.rest.DefaultServiceRestMetadataResolver,class,7,8,1,7,21,2,0,37,68,0.8615384,0.06666667,0.06666667,13,0,1,7,5,0,6,0,0,0,5,4,0,5,0,0,5,0,8,84,11,1,1,1,0,9,1,23,3,22,3,0,0,0,117,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\test\java\org\apache\dubbo\rpc\model\ScopeModelAwareExtensionProcessorTest.java,org.apache.dubbo.rpc.model.ScopeModelAwareExtensionProcessorTest,class,8,8,0,8,4,1,0,14,0,0.16666667,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,9,0,9,0,0,0,0,30,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-compatible\src\main\java\com\alibaba\dubbo\remoting\exchange\Exchanger.java,com.alibaba.dubbo.remoting.exchange.Exchanger,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-registry\dubbo-registry-api\src\test\java\org\apache\dubbo\registry\client\DefaultServiceInstanceTest.java,org.apache.dubbo.registry.client.DefaultServiceInstanceTest,class,6,7,1,6,4,1,0,29,0,0.0,0.5,0.5,4,1,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,3,48,1,0,0,0,0,21,7,9,1,9,0,0,0,0,32,1,0
